"poll","iso","sector","fuel","units","year","value","country"
"NOx","zaf","1a2e ind comb food tobacco [1A2e]","Diesel oil","ktNO2",2022,0.276604112208451,"South Africa"
"NOx","zaf","1a2e ind comb food tobacco [1A2e]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2e ind comb food tobacco [1A2e]","Heavy oil","ktNO2",2022,0.62904962181056,"South Africa"
"NOx","zaf","1a2e ind comb food tobacco [1A2e]","Light oil","ktNO2",2022,0.0207276927019476,"South Africa"
"NOx","zaf","1a2e ind comb food tobacco [1A2e]","Natural gas","ktNO2",2022,0.586976206129624,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Diesel oil","ktNO2",2022,0.0395148731726359,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Hard coal","ktNO2",2022,8.97004186484616,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Heavy oil","ktNO2",2022,0.0571863292555055,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Light oil","ktNO2",2022,0.00690923090064922,"South Africa"
"NOx","zaf","1a2f ind comb non metalic minerals [1A2f]","Natural gas","ktNO2",2022,1.97847714331712,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Diesel oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Heavy oil","ktNO2",2022,0.26735235745909,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Light oil","ktNO2",2022,0.0353562042452519,"South Africa"
"NOx","zaf","1a2g ind comb construction [1A2g]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Diesel oil","ktNO2",2022,0.0131716243908786,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Heavy oil","ktNO2",2022,0.0953105487591758,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Light oil","ktNO2",2022,0.0207276927019476,"South Africa"
"NOx","zaf","1a2g ind comb machinery [1A2g]","Natural gas","ktNO2",2022,0.143333142544041,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Diesel oil","ktNO2",2022,9.5823567443642,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Hard coal","ktNO2",2022,3.34590127667177,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Heavy oil","ktNO2",2022,1.71558987766517,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Light oil","ktNO2",2022,0.732378475468811,"South Africa"
"NOx","zaf","1a2g ind comb mining quarying [1A2g]","Natural gas","ktNO2",2022,0.0367328660285461,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Biomass","ktNO2",2022,15.8064142215096,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Diesel oil","ktNO2",2022,0.540036600026024,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Hard coal","ktNO2",2022,40.6972564833368,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Heavy oil","ktNO2",2022,1.734651987417,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Light oil","ktNO2",2022,0.131275387112335,"South Africa"
"NOx","zaf","1a2g ind comb other [1A2g]","Natural gas","ktNO2",2022,0.700173405523715,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Diesel oil","ktNO2",2022,0.28977573659933,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Light oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb textile leather [1A2g]","Natural gas","ktNO2",2022,0.00149930065422637,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Diesel oil","ktNO2",2022,0.0131716243908786,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Light oil","ktNO2",2022,0.0207276927019476,"South Africa"
"NOx","zaf","1a2g ind comb transpequip [1A2g]","Natural gas","ktNO2",2022,0.0803625150665332,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Diesel oil","ktNO2",2022,0.0526864975635146,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Heavy oil","ktNO2",2022,0.0571863292555055,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Light oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a2g ind comb wood products [1A2g]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Diesel oil","ktNO2",2022,0.161767371297739,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Light oil","ktNO2",2022,6.3393888687272,"South Africa"
"NOx","zaf","1a3aii domestic aviation [1A3aii]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Diesel oil","ktNO2",2022,260.938827419127,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Heavy oil","ktNO2",2022,0.884765010497026,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Light oil","ktNO2",2022,81.8722616293736,"South Africa"
"NOx","zaf","1a3b road [1A3b]","Natural gas","ktNO2",2022,0.00155627276211877,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Diesel oil","ktNO2",2022,6.22347473745868,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Heavy oil","ktNO2",2022,3.5096525606917,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Light oil","ktNO2",2022,0.322266400251203,"South Africa"
"NOx","zaf","1a3c rail [1A3c]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3di oil tanker loading [1A3di]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Diesel oil","ktNO2",2022,14.7088681760324,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Light oil","ktNO2",2022,0.0902819095685982,"South Africa"
"NOx","zaf","1a3dii domestic navigation [1A3dii]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Diesel oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Light oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a3eii other transp [1A3eii]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a4a commercial institutional [1A4a]","Brown coal","ktNO2",2022,0,"South Africa"
