"poll","iso","sector","fuel","units","year","value","country"
"SO2","zaf","1a2e ind comb food tobacco [1A2e]","Diesel oil","ktSO2",2022,0.42387302138147,"South Africa"
"SO2","zaf","1a2e ind comb food tobacco [1A2e]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2e ind comb food tobacco [1A2e]","Heavy oil","ktSO2",2022,2.24012912426959,"South Africa"
"SO2","zaf","1a2e ind comb food tobacco [1A2e]","Light oil","ktSO2",2022,0.00310424903960795,"South Africa"
"SO2","zaf","1a2e ind comb food tobacco [1A2e]","Natural gas","ktSO2",2022,0.00082913120927266,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Diesel oil","ktSO2",2022,0.0605532887687815,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Hard coal","ktSO2",2022,6.36536873588021,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Heavy oil","ktSO2",2022,0.0643528002971992,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Light oil","ktSO2",2022,0.00103474967986932,"South Africa"
"SO2","zaf","1a2f ind comb non metalic minerals [1A2f]","Natural gas","ktSO2",2022,0.00279469104407715,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Diesel oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Heavy oil","ktSO2",2022,0.135765401470885,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Light oil","ktSO2",2022,0.00103474967986932,"South Africa"
"SO2","zaf","1a2g ind comb construction [1A2g]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Diesel oil","ktSO2",2022,0.0201844295895938,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Heavy oil","ktSO2",2022,0.339413503677211,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Light oil","ktSO2",2022,0.00310424903960795,"South Africa"
"SO2","zaf","1a2g ind comb machinery [1A2g]","Natural gas","ktSO2",2022,0.00020246473462699,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Diesel oil","ktSO2",2022,14.6841725264295,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Hard coal","ktSO2",2022,7.51372224526452,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Heavy oil","ktSO2",2022,6.1094430661898,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Light oil","ktSO2",2022,0.109683466066147,"South Africa"
"SO2","zaf","1a2g ind comb mining quarying [1A2g]","Natural gas","ktSO2",2022,5.18868828280464e-05,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Biomass","ktSO2",2022,0.650476878612716,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Diesel oil","ktSO2",2022,0.827561613173347,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Hard coal","ktSO2",2022,91.39178238524,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Heavy oil","ktSO2",2022,6.17732576692525,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Light oil","ktSO2",2022,0.019660243917517,"South Africa"
"SO2","zaf","1a2g ind comb other [1A2g]","Natural gas","ktSO2",2022,0.00098902752166112,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Diesel oil","ktSO2",2022,0.444057450971064,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb textile leather [1A2g]","Natural gas","ktSO2",2022,2.11783195216515e-06,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Diesel oil","ktSO2",2022,0.0201844295895938,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Light oil","ktSO2",2022,0.00310424903960795,"South Africa"
"SO2","zaf","1a2g ind comb transpequip [1A2g]","Natural gas","ktSO2",2022,0.00011351579263605,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Diesel oil","ktSO2",2022,0.0807377183583753,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Heavy oil","ktSO2",2022,0.203648102206327,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2g ind comb wood products [1A2g]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Diesel oil","ktSO2",2022,0.0202449828783627,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Light oil","ktSO2",2022,0.793366536632712,"South Africa"
"SO2","zaf","1a3aii domestic aviation [1A3aii]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Diesel oil","ktSO2",2022,8.18680464153926,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Heavy oil","ktSO2",2022,1.42553671544429,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Light oil","ktSO2",2022,6.4699841505591,"South Africa"
"SO2","zaf","1a3b road [1A3b]","Natural gas","ktSO2",2022,1.90604875694864e-06,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Diesel oil","ktSO2",2022,1.19088134578604,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Heavy oil","ktSO2",2022,5.9736776647189,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Light oil","ktSO2",2022,0.0269034916766022,"South Africa"
"SO2","zaf","1a3c rail [1A3c]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a3di oil tanker loading [1A3di]","Process","ktSO2",2022,0,"South Africa"
